unit,current_cycle,health_score,decline_rate_per_cycle,priority
33,200,13.4,1.82,CRITICAL
44,192,16.5,1.6,CRITICAL
83,293,16.9,1.28,CRITICAL
5,269,18.1,1.29,CRITICAL
59,231,18.9,1.35,CRITICAL
10,222,20.6,1.25,CRITICAL
2,287,21.3,0.88,CRITICAL
50,198,21.7,1.37,CRITICAL
15,207,23.0,1.29,CRITICAL
54,257,23.9,1.15,CRITICAL
95,283,25.4,0.97,CRITICAL
18,195,25.6,1.76,CRITICAL
28,165,25.6,1.41,CRITICAL
82,214,25.7,1.29,CRITICAL
41,216,27.3,1.93,CRITICAL
78,231,28.4,0.92,CRITICAL
46,256,28.7,1.36,CRITICAL
96,336,29.3,1.22,CRITICAL
7,259,29.5,0.56,CRITICAL
17,276,30.8,0.73,CRITICAL
61,185,31.4,1.36,CRITICAL
69,362,31.4,0.33,CRITICAL
74,166,32.7,1.43,CRITICAL
4,189,33.0,1.82,CRITICAL
45,158,33.1,1.39,CRITICAL
79,199,33.5,1.28,CRITICAL
31,234,33.9,0.63,CRITICAL
29,163,34.2,1.39,CRITICAL
43,207,34.5,0.73,CRITICAL
53,195,34.7,1.59,CRITICAL
24,147,34.8,1.81,CRITICAL
90,154,35.0,1.51,CRITICAL
99,185,35.4,1.4,CRITICAL
47,214,35.5,0.88,CRITICAL
98,156,35.6,1.25,CRITICAL
11,240,36.3,1.1,CRITICAL
9,201,36.3,1.06,CRITICAL
72,213,36.3,0.94,CRITICAL
30,194,37.2,0.98,CRITICAL
97,202,37.7,1.54,CRITICAL
92,341,37.8,0.56,CRITICAL
65,153,37.9,1.01,CRITICAL
58,147,38.3,1.58,CRITICAL
100,200,38.3,1.09,CRITICAL
3,179,38.6,1.39,CRITICAL
68,199,39.0,1.47,CRITICAL
93,155,40.4,1.26,CRITICAL
64,283,41.2,0.73,CRITICAL
21,195,41.5,1.42,CRITICAL
20,234,41.8,1.09,CRITICAL
27,156,42.0,1.17,CRITICAL
85,188,42.1,1.06,CRITICAL
57,137,42.2,1.32,CRITICAL
51,213,42.6,1.5,CRITICAL
1,192,42.7,0.63,CRITICAL
67,313,42.8,0.43,CRITICAL
75,229,43.4,0.97,CRITICAL
48,231,43.7,1.36,CRITICAL
23,168,43.9,0.82,CRITICAL
71,208,44.3,1.21,CRITICAL
37,170,44.5,0.62,CRITICAL
89,217,45.3,0.37,CRITICAL
13,163,45.6,1.42,CRITICAL
88,213,46.4,0.72,CRITICAL
87,178,46.4,0.68,CRITICAL
42,196,47.0,0.51,CRITICAL
94,258,47.2,0.72,CRITICAL
77,154,47.6,1.09,CRITICAL
39,128,48.5,1.17,CRITICAL
70,137,48.6,1.03,CRITICAL
35,181,48.9,0.47,CRITICAL
32,191,49.6,0.9,CRITICAL
6,188,49.6,0.72,CRITICAL
25,230,49.6,0.67,CRITICAL
14,180,51.0,0.94,WARNING
49,215,51.5,0.47,WARNING
36,158,52.1,0.76,WARNING
76,210,52.1,0.73,WARNING
81,240,53.1,0.91,WARNING
55,193,53.2,1.12,WARNING
38,194,53.2,0.97,WARNING
52,213,53.2,0.74,WARNING
26,199,53.7,0.87,WARNING
63,174,53.8,1.11,WARNING
12,170,54.4,0.68,WARNING
19,158,56.2,0.84,WARNING
56,275,56.3,0.49,WARNING
40,188,56.5,0.82,WARNING
73,213,57.1,0.46,WARNING
34,195,57.5,1.07,WARNING
86,278,57.8,0.0,WARNING
91,135,58.2,0.89,WARNING
60,172,58.9,0.76,WARNING
84,267,59.3,0.38,WARNING
66,202,60.3,0.51,WARNING
22,202,61.5,0.63,WARNING
80,185,61.7,0.98,WARNING
8,150,62.0,0.83,WARNING
16,209,62.6,0.5,WARNING
62,180,65.1,0.26,WARNING
